Item_Name	Manufacturer_ID	Category_ID	ASIN
"""Oggi 64-Ounce Pumpmaster, Lever Pump Action with 4 Different Beverage Settings, Glass Liner"""	11	7	
"""Oggi Gusto Carafe with Press Button Top and Glass Liner, 1-Liter, Silver"""	11	13	B00CQ21JJG
"""Oggi Gusto Carafe with Press Button Top and Glass Liner, 1-Liter, White"""	11	3	B00CQ21J3M
Oggi Clarisa Satin Finish Stainless Steel 54 Ounce Thermal Vacuum Carafe	11	8	B000Q7A0OI
Oggi 6563.0 Lever Pump Master Beverage Carafe with ID Tags	11	7	B00JVKBXJM
"""Oggi Pinnacle Carafe with Press Button Top and Glass Liner, 1-Liter, Silver"""	11	11	B00CQ21L7G
"""Oggi Dial A Brew Rotating Carafe Top, 1-Liter, Silver"""	11	8	B001MSJVCM
Oggi Senator 34-Ounce Stainless Steel Carafe	11	15	B00ZG0J7O4
"""Oggi Lever Pumpmaster with Glass Liner, 64-Ounce"""	11	12	
Oggi Solo 20-Ounce Thermal Vacuum Carafe with Stainless Steel Liner and Press Button Top	11	8	B0031M94KQ
"""Oggi 6576.3 Swirl Carafe with Press Button Top, 1.2-Liter, Black"""	11	14	B00JVKC6KM
Oggi Allegra ( 2.1 Liter/ 68 Oz. ) Thermal Vacuum Carafe with Press Button Top and Stainless Steel Liner- White	11	10	B01EOW64VI
Oggi Lustre Clarisa 54-Ounce Thermal Carafe	11	3	B00ZG1E8TW
"""Oggi Avanti 6572.11 Thermal Vacuum Carafe with Press Button Top and Glass Liner, Green"""	11	14	B00J3OT5BE
"""Boelter Brands The Beatles Yellow Submarine Relief Mug, 14-ounce"""	10	10	B00JUFIX1E
NFL 16-Ounce Color Changing Pint Glass	10	15	B01DJCJ3G2
Tervis 24 oz. Clear Water Bottle	10	1	B007AXS0H0
"""Tervis Goldfish Water Bottle with Lid, 24 oz, Clear"""	10	3	B00DHLLWV0
"""Tervis Boho Floral Chic Tumbler with Travel Lid, 16 oz, Clear"""	10	13	B00UECX19G
"""Tervis Sunshine Sweet Tea Wrap Bottle with Yellow Lid, 24-Ounce, Beverage"""	10	1	B00RVXRH5K
Tervis 16 oz. Harry Potter Up To No Good Tumbler Tervis One Size	10	10	B01MA6VRNH
"""Tervis 1187032 Minions Joy Tumbler with Travel Lid, 10 oz, Clear"""	10	15	B00Z84420W
