Pet_Supplies_Name	ASIN	Pet_Type_ID	Category_ID	Supplier_ID	Model_Number
Zoo Med Habba Hut, Extra Large	B0010ONMV4	6	5	21	HHXL
Nutramax Denamarin Tabs for Large Dogs 35 Lbs. and Over - 30 Tablets	B0011XHGR0	1	2	1	DENAMAR425
Purina Fancy Feast Flaked Fish & Shrimp Feast Cat Food - (24) 3 oz.	B0012KB466	2	1	1	1.01E+13
Purina Fancy Feast 50000572816-Parent Medleys Florentine Collection Gourmet Wet Cat Food Variety Pack - (24) 3 oz. Cans	B0012KK4KI	2	4	1	50000572816Parent
Vanness AF3 3-Pound Auto Feeder	B0015ZK0VI	2	6	21	AF3
Purina Fortiflora Canine Nutritional Supplement Box, 30gm/30 Count	B001650NNW	1	2	1	30011
Pro Plan Veterinary Diets Purina Fortiflora Feline Nutritional Supplement Box	B001650OE0	2	2	8	B00164YL22
Petmate Aspen Pet Lebistro Programmable Food Dispenser- 18 Cup	B0016BVY2U	2	6	1	24232
Aqueon Betta Food Pellets, 0.95-Ounce	B00176BAZK	3	1	1	100106051
TRIXIE Pet Products Cozy Cat Cave (Brown/Beige)	B00178JAOG	2	1	1	4339
Van Ness 10 Pound Food Container	B0017JE6B2	1	15	1	FC10
A&E CAGE COMPANY AE500M Java Wood Table Top Play Stand	B0018CIC1I	4	2	1	AE500M
Stella & Chewy's Freeze-Dried Raw Dandy Lamb Dinner Patties Dog Food, 14 oz	B0018CIRMM	1	1	1	FDL15
Zoo Med Natural Cork Tile Background, 12 x 18-Inches	B0019J6GCC	6	2	1	NCB2
Vision Bird Bath	B001B5A8FK	4	2	1	83380A1
Exo Terra Reptile Multi-Vitamin 2-1/2-Ounce	B001B5E7JS	6	2	1	PT1861
LAFEBER'S Classic Nutri-Berries Parrot Food 3.25 lb	B001CCJOAM	4	1	1	41054816520
Kaytee Puzzle Playground for Small Animals	B001EWHV3C	7	13	1	100079337
Eheim Everyday Fish Feeder Programmable Automatic Food Dispenser	B001F2117I	3	6	18	3581090
ZuPreem FruitBlend Flavor with Natural Flavors 12 lb.	B001F6TUL8	4	1	1	230361
Zupreem FruitBlend Parrot Conure Medium Large 3.5 LB	B001F95SV6	4	1	20	83030
Zoo Med Reptile Bark Fir Bedding, 24 Quarts	B001F9AMW6	6	5	21	RB24
Oxbow Critical Care Apple/Banana Pet Supplement, 141gm	B001FKACXO	6	2	1	70101
Tetra Whisper EX Carbon Filter Cartridges, Large, 4-Count	B001KN959I	3	1	1	26333
Ware Manufacturing Fun Tunnels Play Tube for Small Pets, 30 X 4 Inches - Medium	B001LUMU9M	7	13	1	3292
LubriSyn Hyaluronan Joint Supplement (32 oz)	B001M5D1B2	1	2	1	LUBSYN32
Guinea Habitat Guinea Pig Cage by MidWest	B001NJ0DPY	7	5	1	B001NJ0DPY
Fluker Labs SFK43000 Eco Clean All Natural Reptile Waste Remover, 8-Ounce	B001ORW344	6	5	21	919305
Virbac C.E.T. Enzymatic Oral Hygiene Chews, Medium Dog, 30 Count	B001P05K6I	1	2	1	603
Kaytee Forti Diet Pro Health Bird Food for Parakeet, 5-Pound	B001U8L6QI	4	1	1	100502100
Kaytee Large Guinea Pig Habitat	B001UGOR1Q	1	11	1	100079890
Nutro MAX CAT Indoor Adult Roasted Chicken Flavor Dry Cat Food (1)16 Pounds; Rich in Nutrients and Full of Flavor; Supports Health	B001VJ5A2W	1	1	1	10072477
Purina ALPO 11132109295 Chop House Filet Mignon, Roasted Chicken & Top Sirloin Wet Dog Food Variety Pack	B0025V4QAW	1	1	1	11132109295
Pet King Brands Zymox Otic Pet Ear Treatment with Hydrocortisone, 1.25 oz	B0025YOJXS	1	2	1	006ZYM01125
TRIXIE Pet Products Baza Cat Tree	B0027IVL6K	2	8	1	44541
Sturdibag Extra Large Pet Carrier Flexible Height Pet Tote, Black,Size XL	B0027P0Q2S	1	11	1	SB3B
Purina Friskies Poultry Variety Pack Cat Food - (32) 11 lb. Box	B00283MYSI	2	4	1	P3455
Fluker's High Calcium Cricket Diet, 11.5-Ounce	B002DWTJBO	6	1	1	71000
Kaytee Fiesta Awesome Country Harvest Treat Blends for Small Animals, 7-Ounce	B002IJOFMU	7	4	1	100527101
Kaytee Fiesta Tropical Fruit Canary and Finch Treat, 10-oz jar	B002IJSGE8	4	1	21	100502828
VetriScience Laboratories GlycoFlex 3 Hip and Joint Support for Dogs, 120 Bite Sized Chews, 30.69 ounce	B002LVTTYE	1	2	1	900569.12
SturdiBag Pet Carrier (Black)	B002N65VPI	1	11	1	SB2B
Perky-Pet No/No GSB00344 Green Seed Ball Wild Bird Feeder	B002NC2AEM	4	6	1	GSB00344
VPS SynovialMax Hip & Joint Soft Chews for Dogs, 240 count	B002R0DRS8	1	2	1	015CL19240
Fruitables Baked Dog Treats Pumpkin & Cranberry Flavor 7 oz	B002R8UANK	5	4	1	2164
BLUE Wilderness Adult Grain Free Chicken Dry Cat Food 12-lb	B002UT92EY	2	1	1	8.40E+11
Perky-Pet 238 Hummingbird Nectar, 32-Ounce Concentrate	B002VAIOTG	4	1	1	238
Lyric Fruit & Nut High Energy Wild Bird Mix - 5 lb. bag	B002VDV84G	4	1	1	100033684
Tetra Crescent Acrylic Aquarium Kit, Energy Efficient LEDs, 5-Gallon	B00324X5L2	3	14	1	29003
Exo Terra Worm Dish, Small	B0032G71X8	6	6	1	PT2808
Exo Terra Gecko Dish	B0032GCK9I	6	6	1	PT2810
Our Pets IQ Treat Ball Interactive Food Dispensing Dog Toy, Assorted Colors	B003ARUKU0	1	4	1	2130010793
Nutri-Vet Fish Oil Softgels, 100 Count	B003BARURW	2	2	1	999011
Zoo Med ReptiFresh Odor Eliminating Substrate, Blacks & Grays, 8 lb	B003I5QRII	6	2	1	RO8
TetraFauna ReptoGuard Turtle Health Conditioner Block	B003JVV2FY	6	2	1	19514
Zoo Med Hermit Crab Salt Water Conditioner, 2.25-Ounce	B003JWQQXQ	6	2	1	HC91
Hill's Science Diet Adult Sensitive Stomach & Skin Dog Food, Chicken Meal & Barley Recipe Dry Dog Food, 30 lb Bag	B003MGAIDI	1	1	1	8839
Purina Pro Plan 38100027719 FOCUS Adult Urinary Tract Health Formula Canned Cat Food - 3 oz. Cans (Pack of 24)	B003R0LM2U	2	1	1	38100027719
Catit Jumbo Hooded Cat Litter Pan - Warm Gray	B003RQVGKC	2	10	1	50695
